Date,USDHKD
2009-07-22,7.7503
2009-07-23,7.7497
2009-07-24,7.75
2009-07-27,7.7499
2009-07-28,7.7504
2009-07-29,7.7498
2009-07-30,7.7499
2009-07-31,7.7497
2009-08-03,7.7498
2009-08-04,7.7499
2009-08-05,7.75
2009-08-06,7.7502
2009-08-07,7.7503
2009-08-10,7.7501
2009-08-11,7.7505
2009-08-12,7.7504
2009-08-13,7.7504
2009-08-14,7.7505
2009-08-17,7.7507
2009-08-18,7.7511
2009-08-19,7.7514
2009-08-20,7.7511
2009-08-21,7.7509
2009-08-24,7.75
2009-08-25,7.7499
2009-08-26,7.7508
2009-08-27,7.7511
2009-08-28,7.7507
2009-08-31,7.7506
2009-09-01,7.7507
2009-09-02,7.7511
2009-09-03,7.7508
2009-09-04,7.7507
2009-09-07,7.7501
2009-09-08,7.7499
2009-09-09,7.7502
2009-09-10,7.7503
2009-09-11,7.7499
2009-09-14,7.7499
2009-09-15,7.7498
2009-09-16,7.7498
2009-09-17,7.75
2009-09-18,7.7502
2009-09-21,7.7502
2009-09-22,7.7501
2009-09-23,7.7501
2009-09-24,7.7501
2009-09-25,7.75
2009-09-28,7.7499
2009-09-29,7.7499
2009-09-30,7.7498
2009-10-01,7.7499
2009-10-02,7.75
2009-10-05,7.7501
2009-10-06,7.7499
2009-10-07,7.7499
2009-10-08,7.7499
2009-10-09,7.7498
2009-10-12,7.7497
2009-10-13,7.7499
2009-10-14,7.7498
2009-10-15,7.7496
2009-10-16,7.7498
2009-10-19,7.7499
2009-10-20,7.7498
2009-10-21,7.7497
2009-10-22,7.7498
2009-10-23,7.7499
2009-10-26,7.7499
2009-10-27,7.7498
2009-10-28,7.7498
2009-10-29,7.7501
2009-10-30,7.75
2009-11-02,7.7498
2009-11-03,7.7499
2009-11-04,7.7499
2009-11-05,7.7496
2009-11-06,7.7496
2009-11-09,7.7495
2009-11-10,7.7495
2009-11-11,7.7495
2009-11-12,7.7495
2009-11-13,7.7495
2009-11-16,7.7497
2009-11-17,7.7495
2009-11-18,7.7497
2009-11-19,7.7496
2009-11-20,7.75
2009-11-23,7.749
2009-11-24,7.7495
2009-11-25,7.75
2009-11-26,7.7497
2009-11-27,7.7502
2009-11-30,7.7495
2009-12-01,7.7495
2009-12-02,7.7498
2009-12-03,7.7495
2009-12-04,7.7498
2009-12-07,7.7496
2009-12-08,7.7501
2009-12-09,7.7502
2009-12-10,7.7502
2009-12-11,7.7503
2009-12-14,7.7514
2009-12-15,7.7521
2009-12-16,7.7524
2009-12-17,7.7555
2009-12-18,7.7569
2009-12-21,7.7543
2009-12-22,7.7547
2009-12-23,7.7535
2009-12-24,7.7554
2009-12-25,7.7554
2009-12-28,7.7547
2009-12-29,7.7548
2009-12-30,7.754
2009-12-31,7.7548
2010-01-01,7.7538
2010-01-04,7.7552
2010-01-05,7.7559
2010-01-06,7.7537
2010-01-07,7.7549
2010-01-08,7.7552
2010-01-11,7.7547
2010-01-12,7.7546
2010-01-13,7.7562
2010-01-14,7.7579
2010-01-15,7.7599
2010-01-18,7.7629
2010-01-19,7.7625
2010-01-20,7.7687
2010-01-21,7.7719
2010-01-22,7.7718
2010-01-25,7.769
2010-01-26,7.7757
2010-01-27,7.7763
2010-01-28,7.7669
2010-01-29,7.7648
2010-02-01,7.7677
2010-02-02,7.766
2010-02-03,7.7645
2010-02-04,7.7705
2010-02-05,7.7691
2010-02-08,7.7707
2010-02-09,7.7702
2010-02-10,7.7695
2010-02-11,7.7694
2010-02-12,7.7693
2010-02-15,7.7722
2010-02-16,7.7693
2010-02-17,7.767
2010-02-18,7.7655
2010-02-19,7.7656
2010-02-22,7.7625
2010-02-23,7.7618
2010-02-24,7.766
2010-02-25,7.764
2010-02-26,7.7615
2010-03-01,7.7648
2010-03-02,7.762
2010-03-03,7.7625
2010-03-04,7.7625
2010-03-05,7.7622
2010-03-08,7.7583
2010-03-09,7.7587
2010-03-10,7.7583
2010-03-11,7.7589
2010-03-12,7.7571
2010-03-15,7.7585
2010-03-16,7.7604
2010-03-17,7.7608
2010-03-18,7.7603
2010-03-19,7.7597
2010-03-22,7.761
2010-03-23,7.7619
2010-03-24,7.7615
2010-03-25,7.761
2010-03-26,7.7621
2010-03-29,7.763
2010-03-30,7.7647
2010-03-31,7.764
2010-04-01,7.766
2010-04-02,7.7676
2010-04-05,7.7656
2010-04-06,7.765
2010-04-07,7.7603
2010-04-08,7.7584
2010-04-09,7.7561
2010-04-12,7.7572
2010-04-13,7.76
2010-04-14,7.7612
2010-04-15,7.7602
2010-04-16,7.7612
2010-04-19,7.7628
2010-04-20,7.764
2010-04-21,7.7628
2010-04-22,7.7608
2010-04-23,7.762
2010-04-26,7.763
2010-04-27,7.764
2010-04-28,7.7683
2010-04-29,7.7653
2010-04-30,7.7635
2010-05-03,7.7629
2010-05-04,7.7643
2010-05-05,7.7671
2010-05-06,7.773
2010-05-07,7.7825
2010-05-10,7.7794
2010-05-11,7.7809
2010-05-12,7.7823
2010-05-13,7.7811
2010-05-14,7.7853
2010-05-17,7.7994
2010-05-18,7.7972
2010-05-19,7.8003
2010-05-20,7.8024
2010-05-21,7.8029
2010-05-24,7.8017
2010-05-25,7.8008
2010-05-26,7.7768
2010-05-27,7.7872
2010-05-28,7.7883
2010-05-31,7.786
2010-06-01,7.7905
2010-06-02,7.7915
2010-06-03,7.7923
2010-06-04,7.7934
2010-06-07,7.8043
2010-06-08,7.8039
2010-06-09,7.8018
2010-06-10,7.793
2010-06-11,7.7903
2010-06-14,7.7918
2010-06-15,7.7904
2010-06-16,7.7924
2010-06-17,7.783
2010-06-18,7.7823
2010-06-21,7.7695
2010-06-22,7.7765
2010-06-23,7.7775
2010-06-24,7.7782
2010-06-25,7.7777
2010-06-28,7.7815
2010-06-29,7.785
2010-06-30,7.788
2010-07-01,7.7885
2010-07-02,7.796
2010-07-05,7.7915
2010-07-06,7.788
2010-07-07,7.7888
2010-07-08,7.785
2010-07-09,7.7637
2010-07-12,7.7704
2010-07-13,7.7725
2010-07-14,7.7703
2010-07-15,7.7678
2010-07-16,7.7735
2010-07-19,7.7745
2010-07-20,7.775
2010-07-21,7.7751
2010-07-22,7.773
2010-07-23,7.767
2010-07-26,7.7655
2010-07-27,7.766
2010-07-28,7.7673
2010-07-29,7.7671
2010-07-30,7.7667
2010-08-02,7.764
2010-08-03,7.76
2010-08-04,7.7638
2010-08-05,7.7628
2010-08-06,7.7626
2010-08-09,7.7615
2010-08-10,7.7638
2010-08-11,7.766
2010-08-12,7.7695
2010-08-13,7.7722
2010-08-16,7.7737
2010-08-17,7.771
2010-08-18,7.7686
2010-08-19,7.7708
2010-08-20,7.7735
2010-08-23,7.7743
2010-08-24,7.7757
2010-08-25,7.777
2010-08-26,7.7763
2010-08-27,7.7784
2010-08-30,7.7785
2010-08-31,7.7794
2010-09-01,7.775
2010-09-02,7.7715
2010-09-03,7.7706
2010-09-06,7.766
2010-09-07,7.7701
2010-09-08,7.769
2010-09-09,7.7695
2010-09-10,7.7683
2010-09-13,7.7669
2010-09-14,7.7657
2010-09-15,7.7669
2010-09-16,7.7658
2010-09-17,7.7658
2010-09-20,7.7634
2010-09-21,7.761
2010-09-22,7.7589
2010-09-23,7.7595
2010-09-24,7.7569
2010-09-27,7.7581
2010-09-28,7.7578
2010-09-29,7.7585
2010-09-30,7.7595
2010-10-01,7.7583
2010-10-04,7.7566
2010-10-05,7.7555
2010-10-06,7.7548
2010-10-07,7.755
2010-10-08,7.7575
2010-10-11,7.758
2010-10-12,7.7577
2010-10-13,7.7594
2010-10-14,7.7575
2010-10-15,7.7571
2010-10-18,7.7569
2010-10-19,7.7592
2010-10-20,7.7631
2010-10-21,7.7633
2010-10-22,7.7608
2010-10-25,7.7575
2010-10-26,7.7595
2010-10-27,7.7576
2010-10-28,7.755
2010-10-29,7.7512
2010-11-01,7.7522
2010-11-02,7.7512
2010-11-03,7.7504
2010-11-04,7.7506
2010-11-05,7.7505
2010-11-08,7.7505
2010-11-09,7.7512
2010-11-10,7.7511
2010-11-11,7.7506
2010-11-12,7.7505
2010-11-15,7.7521
2010-11-16,7.7573
2010-11-17,7.757
2010-11-18,7.7542
2010-11-19,7.7543
2010-11-22,7.755
2010-11-23,7.7577
2010-11-24,7.7599
2010-11-25,7.759
2010-11-26,7.7631
2010-11-29,7.7658
2010-11-30,7.7656
2010-12-01,7.7679
2010-12-02,7.7655
2010-12-03,7.7642
2010-12-06,7.7605
2010-12-07,7.7624
2010-12-08,7.7668
2010-12-09,7.7739
2010-12-10,7.7734
2010-12-13,7.7782
2010-12-14,7.7723
2010-12-15,7.7762
2010-12-16,7.7766
2010-12-17,7.7778
2010-12-20,7.7742
2010-12-21,7.773
2010-12-22,7.7783
2010-12-23,7.7765
2010-12-24,7.7815
2010-12-27,7.7821
2010-12-28,7.7802
2010-12-29,7.7828
2010-12-30,7.7823
2010-12-31,7.7725
2011-01-03,7.7703
2011-01-04,7.7687
2011-01-05,7.7704
2011-01-06,7.7715
2011-01-07,7.772
2011-01-10,7.7768
2011-01-11,7.7755
2011-01-12,7.7749
2011-01-13,7.7734
2011-01-14,7.7747
2011-01-17,7.7756
2011-01-18,7.7777
2011-01-19,7.7788
2011-01-20,7.784
2011-01-21,7.7922
2011-01-24,7.797
2011-01-25,7.7886
2011-01-26,7.784
2011-01-27,7.7915
2011-01-28,7.7906
2011-01-31,7.7967
2011-02-01,7.791
2011-02-02,7.7873
2011-02-03,7.7857
2011-02-04,7.7857
2011-02-07,7.7831
2011-02-08,7.7828
2011-02-09,7.7865
2011-02-10,7.789
2011-02-11,7.7951
2011-02-14,7.7961
2011-02-15,7.793
2011-02-16,7.7896
2011-02-17,7.7871
2011-02-18,7.7847
2011-02-21,7.7835
2011-02-22,7.7931
2011-02-23,7.7959
2011-02-24,7.7961
2011-02-25,7.7933
2011-02-28,7.7875
2011-03-01,7.7903
2011-03-02,7.7905
2011-03-03,7.7875
2011-03-04,7.7859
2011-03-07,7.7866
2011-03-08,7.7892
2011-03-09,7.787
2011-03-10,7.7885
2011-03-11,7.7876
2011-03-14,7.7911
2011-03-15,7.796
2011-03-16,7.7979
2011-03-17,7.8023
2011-03-18,7.7997
2011-03-21,7.7971
2011-03-22,7.7947
2011-03-23,7.7948
2011-03-24,7.7934
2011-03-25,7.7949
2011-03-28,7.7979
2011-03-29,7.7911
2011-03-30,7.7828
2011-03-31,7.7792
2011-04-01,7.7782
2011-04-04,7.7731
2011-04-05,7.7739
2011-04-06,7.7744
2011-04-07,7.7707
2011-04-08,7.7711
2011-04-11,7.7693
2011-04-12,7.773
2011-04-13,7.7757
2011-04-14,7.7748
2011-04-15,7.7747
2011-04-18,7.7769
2011-04-19,7.7768
2011-04-20,7.7719
2011-04-21,7.7667
2011-04-22,7.771
2011-04-25,7.7716
2011-04-26,7.7708
2011-04-27,7.7705
2011-04-28,7.7685
2011-04-29,7.7656
2011-05-02,7.7661
2011-05-03,7.7653
2011-05-04,7.7704
2011-05-05,7.7719
2011-05-06,7.7706
2011-05-09,7.7726
2011-05-10,7.7715
2011-05-11,7.7721
2011-05-12,7.7722
2011-05-13,7.7724
2011-05-16,7.7762
2011-05-17,7.774
2011-05-18,7.7741
2011-05-19,7.774
2011-05-20,7.7725
2011-05-23,7.7781
2011-05-24,7.777
2011-05-25,7.7843
2011-05-26,7.7828
2011-05-27,7.7803
2011-05-30,7.7789
2011-05-31,7.7773
2011-06-01,7.7792
2011-06-02,7.7778
2011-06-03,7.778
2011-06-06,7.7781
2011-06-07,7.7788
2011-06-08,7.7823
2011-06-09,7.783
2011-06-10,7.7841
2011-06-13,7.7855
2011-06-14,7.7847
2011-06-15,7.7875
2011-06-16,7.8021
2011-06-17,7.7895
2011-06-20,7.791
2011-06-21,7.7895
2011-06-22,7.7881
2011-06-23,7.7905
2011-06-24,7.7886
2011-06-27,7.7866
2011-06-28,7.7852
2011-06-29,7.7821
2011-06-30,7.7821
2011-07-01,7.7816
2011-07-04,7.7795
2011-07-05,7.7803
2011-07-06,7.7825
2011-07-07,7.7831
2011-07-08,7.7819
2011-07-11,7.7896
2011-07-12,7.7949
2011-07-13,7.788
2011-07-14,7.7874
2011-07-15,7.7937
2011-07-18,7.797
2011-07-19,7.7947
2011-07-20,7.7916
2011-07-21,7.7918
2011-07-22,7.791
2011-07-25,7.7923
2011-07-26,7.7904
2011-07-27,7.7904
2011-07-28,7.7924
2011-07-29,7.7928
2011-08-01,7.7903
2011-08-02,7.7943
2011-08-03,7.799
2011-08-04,7.8005
2011-08-05,7.8074
2011-08-08,7.8065
2011-08-09,7.8065
2011-08-10,7.8059
2011-08-11,7.7932
2011-08-12,7.7924
2011-08-15,7.7904
2011-08-16,7.792
2011-08-17,7.79
2011-08-18,7.794
2011-08-19,7.7956
2011-08-22,7.7991
2011-08-23,7.7956
2011-08-24,7.7945
2011-08-25,7.795
2011-08-26,7.7971
2011-08-29,7.7927
2011-08-30,7.7927
2011-08-31,7.7852
2011-09-01,7.7822
2011-09-02,7.7884
2011-09-05,7.7905
2011-09-06,7.795
2011-09-07,7.7937
2011-09-08,7.7932
2011-09-09,7.7942
2011-09-12,7.8025
2011-09-13,7.8038
2011-09-14,7.7972
2011-09-15,7.7905
2011-09-16,7.7918
2011-09-19,7.7965
2011-09-20,7.7893
2011-09-21,7.793
2011-09-22,7.8023
2011-09-23,7.803
2011-09-26,7.7973
2011-09-27,7.7949
2011-09-28,7.7941
2011-09-29,7.7917
2011-09-30,7.7843
2011-10-03,7.7874
2011-10-04,7.7848
2011-10-05,7.7847
2011-10-06,7.7812
2011-10-07,7.7821
2011-10-10,7.7814
2011-10-11,7.78
2011-10-12,7.7805
2011-10-13,7.776
2011-10-14,7.7776
2011-10-17,7.7777
2011-10-18,7.7761
2011-10-19,7.7767
2011-10-20,7.7787
2011-10-21,7.7816
2011-10-24,7.7762
2011-10-25,7.7745
2011-10-26,7.7728
2011-10-27,7.7681
2011-10-28,7.7636
2011-10-31,7.7686
2011-11-01,7.7711
2011-11-02,7.7693
2011-11-03,7.7671
2011-11-04,7.7675
2011-11-07,7.7683
2011-11-08,7.7683
2011-11-09,7.7738
2011-11-10,7.779
2011-11-11,7.7771
2011-11-14,7.781
2011-11-15,7.7828
2011-11-16,7.7838
2011-11-17,7.7874
2011-11-18,7.7888
2011-11-21,7.7893
2011-11-22,7.7927
2011-11-23,7.7931
2011-11-24,7.7966
2011-11-25,7.7957
2011-11-28,7.7945
2011-11-29,7.7925
2011-11-30,7.7674
2011-12-01,7.769
2011-12-02,7.7685
2011-12-05,7.7698
2011-12-06,7.772
2011-12-07,7.7715
2011-12-08,7.7754
2011-12-09,7.7821
2011-12-12,7.7827
2011-12-13,7.7765
2011-12-14,7.7821
2011-12-15,7.7808
2011-12-16,7.7844
2011-12-19,7.7844
2011-12-20,7.781
2011-12-21,7.7796
2011-12-22,7.7815
2011-12-23,7.7772
2011-12-26,7.7773
2011-12-27,7.7769
2011-12-28,7.7745
2011-12-29,7.7722
2011-12-30,7.7671
2012-01-02,7.7669
2012-01-03,7.7666
2012-01-04,7.7675
2012-01-05,7.7647
2012-01-06,7.7635
2012-01-09,7.7647
2012-01-10,7.7656
2012-01-11,7.7657
2012-01-12,7.7661
2012-01-13,7.7665
2012-01-16,7.7673
2012-01-17,7.7637
2012-01-18,7.7606
2012-01-19,7.7594
2012-01-20,7.7623
2012-01-23,7.7603
2012-01-24,7.7599
2012-01-25,7.7595
2012-01-26,7.7562
2012-01-27,7.7542
2012-01-30,7.7555
2012-01-31,7.7547
2012-02-01,7.7552
2012-02-02,7.7549
2012-02-03,7.7536
2012-02-06,7.7531
2012-02-07,7.7532
2012-02-08,7.7533
2012-02-09,7.7543
2012-02-10,7.7549
2012-02-13,7.754
2012-02-14,7.7536
2012-02-15,7.7532
2012-02-16,7.7534
2012-02-17,7.7534
2012-02-20,7.754
2012-02-21,7.7537
2012-02-22,7.7541
2012-02-23,7.7553
2012-02-24,7.754
2012-02-27,7.7551
2012-02-28,7.7553
2012-02-29,7.7561
2012-03-01,7.755
2012-03-02,7.7583
2012-03-05,7.7632
2012-03-06,7.7625
2012-03-07,7.7633
2012-03-08,7.7555
2012-03-09,7.7575
2012-03-12,7.7576
2012-03-13,7.7589
2012-03-14,7.7609
2012-03-15,7.7616
2012-03-16,7.7624
2012-03-19,7.7622
2012-03-20,7.7632
2012-03-21,7.7636
2012-03-22,7.7645
2012-03-23,7.7677
2012-03-26,7.7684
2012-03-27,7.7641
2012-03-28,7.7641
2012-03-29,7.7634
2012-03-30,7.7655
2012-04-02,7.7651
2012-04-03,7.7649
2012-04-04,7.7643
2012-04-05,7.7643
2012-04-06,7.765
2012-04-09,7.7655
2012-04-10,7.7643
2012-04-11,7.7641
2012-04-12,7.7633
2012-04-13,7.76
2012-04-16,7.7575
2012-04-17,7.7588
2012-04-18,7.7605
2012-04-19,7.7615
2012-04-20,7.7603
2012-04-23,7.7603
2012-04-24,7.7592
2012-04-25,7.7593
2012-04-26,7.7598
2012-04-27,7.7588
2012-04-30,7.7581
2012-05-01,7.758
2012-05-02,7.7581
2012-05-03,7.7587
2012-05-04,7.7604
2012-05-07,7.7624
2012-05-08,7.7623
2012-05-09,7.7633
2012-05-10,7.7629
2012-05-11,7.7658
2012-05-14,7.7658
2012-05-15,7.7681
2012-05-16,7.7678
2012-05-17,7.7693
2012-05-18,7.7662
2012-05-21,7.7639
2012-05-22,7.7642
2012-05-23,7.7642
2012-05-24,7.7632
2012-05-25,7.7625
2012-05-28,7.7623
2012-05-29,7.7639
2012-05-30,7.7668
2012-05-31,7.7621
2012-06-01,7.76
2012-06-04,7.7584
2012-06-05,7.7586
2012-06-06,7.7581
2012-06-07,7.7579
2012-06-08,7.7573
2012-06-11,7.76
2012-06-12,7.7577
2012-06-13,7.7588
2012-06-14,7.7588
2012-06-15,7.7584
2012-06-18,7.7585
2012-06-19,7.7588
2012-06-20,7.7588
2012-06-21,7.76
2012-06-22,7.7599
2012-06-25,7.7601
2012-06-26,7.759
2012-06-27,7.7581
2012-06-28,7.7586
2012-06-29,7.7575
2012-07-02,7.7576
2012-07-03,7.7541
2012-07-04,7.7544
2012-07-05,7.7546
2012-07-06,7.753
2012-07-09,7.7547
2012-07-10,7.7539
2012-07-11,7.7542
2012-07-12,7.7568
2012-07-13,7.7561
2012-07-16,7.7569
2012-07-17,7.7563
2012-07-18,7.7557
2012-07-19,7.7551
2012-07-20,7.756
2012-07-23,7.7574
2012-07-24,7.7575
2012-07-25,7.7576
2012-07-26,7.7581
2012-07-27,7.7566
2012-07-30,7.7551
2012-07-31,7.7538
2012-08-01,7.7553
2012-08-02,7.7535
2012-08-03,7.7544
2012-08-06,7.7552
2012-08-07,7.7544
2012-08-08,7.7553
2012-08-09,7.7556
2012-08-10,7.757
2012-08-13,7.7563
2012-08-14,7.7564
2012-08-15,7.7573
2012-08-16,7.7568
2012-08-17,7.756
2012-08-20,7.7571
2012-08-21,7.7565
2012-08-22,7.7563
2012-08-23,7.7562
2012-08-24,7.7565
2012-08-27,7.7556
2012-08-28,7.7555
2012-08-29,7.7554
2012-08-30,7.756
2012-08-31,7.7552
2012-09-03,7.7566
2012-09-04,7.7559
2012-09-05,7.7567
2012-09-06,7.7562
2012-09-07,7.7554
2012-09-10,7.755
2012-09-11,7.754
2012-09-12,7.7539
2012-09-13,7.7545
2012-09-14,7.7506
2012-09-17,7.7518
2012-09-18,7.7521
2012-09-19,7.7528
2012-09-20,7.7532
2012-09-21,7.7522
2012-09-24,7.7531
2012-09-25,7.7533
2012-09-26,7.7537
2012-09-27,7.7538
2012-09-28,7.754
2012-10-01,7.7541
2012-10-02,7.7544
2012-10-03,7.7544
2012-10-04,7.7544
2012-10-05,7.7515
2012-10-08,7.752
2012-10-09,7.7518
2012-10-10,7.752
2012-10-11,7.7515
2012-10-12,7.7513
2012-10-15,7.7509
2012-10-16,7.7508
2012-10-17,7.7513
2012-10-18,7.7499
2012-10-19,7.75
2012-10-22,7.7503
2012-10-23,7.7498
2012-10-24,7.7502
2012-10-25,7.7501
2012-10-26,7.75
2012-10-29,7.7501
2012-10-30,7.7501
2012-10-31,7.7495
2012-11-01,7.75
2012-11-02,7.75
2012-11-05,7.7501
2012-11-06,7.7501
2012-11-07,7.7504
2012-11-08,7.7513
2012-11-09,7.751
2012-11-12,7.7504
2012-11-13,7.7503
2012-11-14,7.7504
2012-11-15,7.7515
2012-11-16,7.752
2012-11-19,7.752
2012-11-20,7.7499
2012-11-21,7.7504
2012-11-22,7.7507
2012-11-23,7.7501
2012-11-26,7.75
2012-11-27,7.7499
2012-11-28,7.75
2012-11-29,7.75
2012-11-30,7.7499
2012-12-03,7.7499
2012-12-04,7.75
2012-12-05,7.7496
2012-12-06,7.7495
2012-12-07,7.75
2012-12-10,7.7495
2012-12-11,7.7496
2012-12-12,7.7498
2012-12-13,7.75
2012-12-14,7.75
2012-12-17,7.7501
2012-12-18,7.75
2012-12-19,7.75
2012-12-20,7.7499
2012-12-21,7.7499
2012-12-24,7.7503
2012-12-25,7.7503
2012-12-26,7.7501
2012-12-27,7.7516
2012-12-28,7.7511
2012-12-31,7.7503
2013-01-01,7.7502
2013-01-02,7.7507
2013-01-03,7.7505
2013-01-04,7.7503
2013-01-07,7.7504
2013-01-08,7.7509
2013-01-09,7.752
2013-01-10,7.7512
2013-01-11,7.7513
2013-01-14,7.752
2013-01-15,7.7518
2013-01-16,7.752
2013-01-17,7.7522
2013-01-18,7.7524
2013-01-21,7.7531
2013-01-22,7.7536
2013-01-23,7.7527
2013-01-24,7.7533
2013-01-25,7.754
2013-01-28,7.7565
2013-01-29,7.7582
2013-01-30,7.7575
2013-01-31,7.7551
2013-02-01,7.7559
2013-02-04,7.7534
2013-02-05,7.7546
2013-02-06,7.7541
2013-02-07,7.7546
2013-02-08,7.7543
2013-02-11,7.7548
2013-02-12,7.7548
2013-02-13,7.756
2013-02-14,7.7538
2013-02-15,7.7543
2013-02-18,7.7539
2013-02-19,7.7538
2013-02-20,7.7539
2013-02-21,7.7557
2013-02-22,7.7558
2013-02-25,7.7559
2013-02-26,7.7582
2013-02-27,7.7573
2013-02-28,7.755
2013-03-01,7.7545
2013-03-04,7.755
2013-03-05,7.7555
2013-03-06,7.7557
2013-03-07,7.756
2013-03-08,7.7568
2013-03-11,7.7566
2013-03-12,7.7563
2013-03-13,7.7587
2013-03-14,7.7582
2013-03-15,7.7575
2013-03-18,7.7618
2013-03-19,7.7619
2013-03-20,7.7626
2013-03-21,7.7631
2013-03-22,7.7628
2013-03-25,7.7609
2013-03-26,7.7597
2013-03-27,7.7633
2013-03-28,7.7621
2013-03-29,7.7633
2013-04-01,7.7625
2013-04-02,7.7622
2013-04-03,7.7616
2013-04-04,7.763
2013-04-05,7.765
2013-04-08,7.7631
2013-04-09,7.7636
2013-04-10,7.7627
2013-04-11,7.7608
2013-04-12,7.7619
2013-04-15,7.7619
2013-04-16,7.7623
2013-04-17,7.763
2013-04-18,7.7642
2013-04-19,7.7637
2013-04-22,7.7637
2013-04-23,7.7644
2013-04-24,7.7641
2013-04-25,7.7641
2013-04-26,7.763
2013-04-29,7.7606
2013-04-30,7.76
2013-05-01,7.7596
2013-05-02,7.7588
2013-05-03,7.7585
2013-05-06,7.7588
2013-05-07,7.7604
2013-05-08,7.7595
2013-05-09,7.7584
2013-05-10,7.7605
2013-05-13,7.7609
2013-05-14,7.7616
2013-05-15,7.7613
2013-05-16,7.7632
2013-05-17,7.7625
2013-05-20,7.7622
2013-05-21,7.7606
2013-05-22,7.7605
2013-05-23,7.7627
2013-05-24,7.7627
2013-05-27,7.7629
2013-05-28,7.7633
2013-05-29,7.7638
2013-05-30,7.7633
2013-05-31,7.7626
2013-06-03,7.7622
2013-06-04,7.76
2013-06-05,7.7603
